TaskID,Input1,Output1_1,Output1_2
0,0.0,28.19,32.05
0,0.015686275,28.039999,30.629997
0,0.03137255,27.89,29.200003
0,0.047058824,27.73,27.82
0,0.0627451,27.56,26.479998
0,0.078431375,27.380001,25.180002
0,0.09411765,27.16,23.91
0,0.10980392,26.89,22.679998
0,0.1254902,26.52,21.440002
0,0.14117648,26.09,20.23
0,0.15686275,25.59,19.069998
0,0.17254902,25.02,17.95
0,0.1882353,24.38,16.89
0,0.20392157,23.699999,15.879999
0,0.21960784,22.970001,14.910001
0,0.23529412,22.24,14.05
0,0.2509804,21.539999,13.36
0,0.26666668,20.830002,12.780001
0,0.28235295,20.12,12.28
0,0.29803923,19.48,11.86
0,0.3137255,18.91,11.4800005
0,0.32941177,18.41,11.12
0,0.34509805,17.99,10.809999
0,0.36078432,17.640001,10.56
0,0.3764706,17.35,10.36
0,0.39215687,17.119999,10.21
0,0.40784314,16.99,10.13
0,0.42352942,16.93,10.08
0,0.4392157,16.91,10.07
0,0.45490196,16.91,10.06
0,0.47058824,16.91,10.07
0,0.4862745,16.92,10.07
0,0.5019608,16.92,10.06
0,0.5176471,16.92,10.06
0,0.53333336,16.92,10.07
0,0.54901963,16.92,10.08
0,0.5647059,16.92,10.09
0,0.5803922,16.92,10.09
0,0.59607846,16.9,10.09
0,0.6117647,16.9,10.08
0,0.627451,16.9,10.07
0,0.6431373,16.9,10.07
0,0.65882355,16.91,10.08
0,0.6745098,16.92,10.08
0,0.6901961,16.93,10.09
0,0.7058824,16.93,10.09
0,0.72156864,16.93,10.09
0,0.7372549,16.93,10.09
0,0.7529412,16.93,10.09
0,0.76862746,16.94,10.1
0,0.78431374,16.94,10.1
0,0.8,16.93,10.08
0,0.8156863,16.91,10.06
0,0.83137256,16.85,10.01
0,0.84705883,16.74,9.94
0,0.8627451,16.539999,9.809999
0,0.8784314,16.24,9.62
0,0.89411765,15.88,9.38
0,0.9098039,15.44,9.089999
0,0.9254902,14.89,8.72
0,0.9411765,14.23,8.29
0,0.95686275,13.489999,7.8299994
0,0.972549,12.720001,7.3400006
0,0.9882353,11.88,6.8
1,0.0,28.49,41.91
1,0.015686275,28.152353,40.937057
1,0.03137255,27.861765,39.940002
1,0.047058824,27.618235,38.9
1,0.0627451,27.437647,37.82
1,0.078431375,27.314705,36.71
1,0.09411765,27.26,35.558823
1,0.10980392,27.284706,34.370586
1,0.1254902,27.396471,33.143528
1,0.14117648,27.587059,31.916471
1,0.15686275,27.86647,30.689413
1,0.17254902,28.260588,29.462355
1,0.1882353,28.791176,28.255295
1,0.20392157,29.444706,27.074118
1,0.21960784,30.212355,25.939999
1,0.23529412,31.094118,24.86294
1,0.2509804,32.08353,23.889412
1,0.26666668,33.18,23.01
1,0.28235295,34.390587,22.254705
1,0.29803923,35.681175,21.62647
1,0.3137255,37.012352,21.146471
1,0.32941177,38.370586,20.82353
1,0.34509805,39.74059,20.662354
1,0.36078432,41.114708,20.651176
1,0.3764706,42.454117,20.769411
1,0.39215687,43.70647,20.99294
1,0.40784314,44.92353,21.32059
1,0.42352942,46.13059,21.762352
1,0.4392157,47.288822,22.279411
1,0.45490196,48.39,22.853529
1,0.47058824,49.424118,23.468824
1,0.4862745,50.41118,24.104118
1,0.5019608,51.39412,24.772354
1,0.5176471,52.35706,25.424706
1,0.53333336,53.31,26.04
1,0.54901963,54.26647,26.621765
1,0.5647059,55.24294,27.19353
1,0.5803922,56.239998,27.734705
1,0.59607846,57.31,28.24294
1,0.6117647,58.43765,28.731176
1,0.627451,59.612354,29.209412
1,0.6431373,60.834118,29.697647
1,0.65882355,62.16118,30.177647
1,0.6745098,63.558823,30.642353
1,0.6901961,64.97176,31.102352
1,0.7058824,66.422935,31.600588
1,0.72156864,67.89647,32.138824
1,0.7372549,69.35941,32.66706
1,0.7529412,70.79647,33.195293
1,0.76862746,72.27059,33.75941
1,0.78431374,73.831764,34.384705
1,0.8,75.43,35.04
1,0.8156863,77.02824,35.688824
1,0.83137256,78.700584,36.367645
1,0.84705883,80.446465,37.05647
1,0.8627451,82.24529,37.769413
1,0.8784314,84.081764,38.52941
1,0.89411765,85.9553,39.325294
1,0.9098039,87.88118,40.16118
1,0.9254902,89.85529,41.025295
1,0.9411765,91.86647,41.902943
1,0.95686275,93.9047,42.774117
1,0.972549,95.98117,43.66353
1,0.9882353,98.117645,44.61529
2,0.0,25.27,57.39
2,0.015686275,25.67647,56.438824
2,0.03137255,26.06294,55.497646
2,0.047058824,26.407059,54.57647
2,0.0627451,26.739412,53.665295
2,0.078431375,27.061766,52.814705
2,0.09411765,27.364119,52.012352
2,0.10980392,27.62647,51.249413
2,0.1254902,27.848824,50.48353
2,0.14117648,28.081177,49.59941
2,0.15686275,28.312353,48.60706
2,0.17254902,28.49059,47.571766
2,0.1882353,28.619411,46.47706
2,0.20392157,28.69353,45.304115
2,0.21960784,28.74,44.005295
2,0.23529412,28.76,42.611767
2,0.2509804,28.76,41.135883
2,0.26666668,28.75,39.58
2,0.28235295,28.71,37.98
2,0.29803923,28.651764,36.321762
2,0.3137255,28.577646,34.67
2,0.32941177,28.47353,33.07
2,0.34509805,28.339413,31.47
2,0.36078432,28.180588,29.855295
2,0.3764706,27.992353,28.250002
2,0.39215687,27.751177,26.67
2,0.40784314,27.448824,25.154118
2,0.42352942,27.105293,23.824705
2,0.4392157,26.72353,22.671764
2,0.45490196,26.361765,21.734705
2,0.47058824,26.059412,21.035294
2,0.4862745,25.75706,20.424118
2,0.5019608,25.464706,19.851177
2,0.5176471,25.156471,19.314705
2,0.53333336,24.83,18.8
2,0.54901963,24.503529,18.295294
2,0.5647059,24.17706,17.770588
2,0.5803922,23.852942,17.268236
2,0.59607846,23.530588,16.807648
2,0.6117647,23.217648,16.377647
2,0.627451,22.915882,15.971176
2,0.6431373,22.63353,15.584705
2,0.65882355,22.434118,15.304117
2,0.6745098,22.32294,15.18
2,0.6901961,22.258823,15.098824
2,0.7058824,22.194706,15.024706
2,0.72156864,22.15,14.960588
2,0.7372549,22.11647,14.92
2,0.7529412,22.062353,14.872353
2,0.76862746,21.948235,14.738235
2,0.78431374,21.772352,14.542353
2,0.8,21.47,14.21
2,0.8156863,21.069412,13.749412
2,0.83137256,20.598824,13.238824
2,0.84705883,20.095882,12.705883
2,0.8627451,19.504705,12.131176
