TaskID,Input1,Output1_1,Output1_2,Output2_1,Output2_2
0,0.0,-0.036776673,-0.45470008,-0.13221541,-0.991221
0,0.007874016,-0.03681102,-0.4642131,-0.12736827,-0.9918555
0,0.015748031,-0.03052617,-0.4741222,-0.12326341,-0.992374
0,0.023622047,-0.030613301,-0.47524244,-0.11974228,-0.992805
0,0.031496063,-0.037094623,-0.47446007,-0.11679936,-0.99315554
0,0.03937008,-0.03252872,-0.46962264,-0.11437152,-0.99343807
0,0.047244094,-0.031021405,-0.47388887,-0.11247639,-0.9936544
0,0.05511811,-0.035890795,-0.48262826,-0.111002445,-0.99382013
0,0.062992126,-0.037728656,-0.4850827,-0.110032246,-0.993928
0,0.070866145,-0.03784398,-0.4804313,-0.10942837,-0.9939947
0,0.07874016,-0.037719294,-0.4758909,-0.10911834,-0.99402875
0,0.08661418,-0.037629325,-0.4750704,-0.109201044,-0.9940197
0,0.09448819,-0.037753507,-0.46725938,-0.10947555,-0.99398947
0,0.10236221,-0.037915852,-0.46947822,-0.110044606,-0.99392664
0,0.11023622,-0.038079735,-0.47030252,-0.1107881,-0.99384403
0,0.11811024,-0.038245864,-0.46441406,-0.111758545,-0.9937354
0,0.12598425,-0.038416464,-0.46648562,-0.11287153,-0.9936096
0,0.13385826,-0.03861391,-0.46888322,-0.11419068,-0.99345887
0,0.14173229,-0.038824305,-0.471438,-0.1156211,-0.9932934
0,0.1496063,-0.043775283,-0.47380534,-0.11716369,-0.9931126
0,0.15748031,-0.045585465,-0.46465355,-0.118845984,-0.9929127
0,0.16535433,-0.04103888,-0.45307595,-0.12053795,-0.99270874
0,0.17322835,-0.042296182,-0.46204057,-0.122237556,-0.99250084
0,0.18110237,-0.046169307,-0.46414924,-0.124085955,-0.9922715
0,0.18897638,-0.043700363,-0.45727706,-0.12595652,-0.99203575
0,0.19685039,-0.04654184,-0.46840674,-0.12804864,-0.9917679
0,0.20472442,-0.051462203,-0.4703663,-0.13039474,-0.9914622
0,0.21259843,-0.049088653,-0.46327326,-0.13315319,-0.9910955
0,0.22047244,-0.04862895,-0.45626426,-0.13634068,-0.99066204
0,0.22834645,-0.05486102,-0.45729825,-0.14011818,-0.9901348
0,0.23622048,-0.061019532,-0.46684322,-0.14453165,-0.98950016
0,0.24409449,-0.061354306,-0.46037945,-0.14973466,-0.9887262
0,0.2519685,-0.061362024,-0.4548977,-0.15553623,-0.98783016
0,0.25984251,-0.06776365,-0.45681176,-0.16220622,-0.98675686
0,0.26771653,-0.07176147,-0.45384094,-0.16950336,-0.9855296
0,0.27559054,-0.07425499,-0.4487499,-0.17747653,-0.984125
0,0.28346458,-0.08128891,-0.45161366,-0.18615507,-0.9825204
0,0.2913386,-0.083806485,-0.45433605,-0.19538528,-0.98072654
0,0.2992126,-0.08395208,-0.45272377,-0.20513746,-0.9787332
0,0.30708662,-0.09344226,-0.45575657,-0.21527208,-0.9765541
0,0.31496063,-0.10323378,-0.45967057,-0.22588848,-0.97415316
0,0.32283464,-0.10331788,-0.46073586,-0.23678994,-0.9715609
0,0.33070865,-0.103326805,-0.4573921,-0.24793564,-0.9687765
0,0.33858266,-0.10967682,-0.45209858,-0.25911108,-0.96584755
0,0.3464567,-0.1096768,-0.43860993,-0.27034843,-0.96276253
0,0.35433072,-0.11284782,-0.43403926,-0.28145292,-0.95957506
0,0.36220473,-0.1233153,-0.43324873,-0.29267645,-0.9562115
0,0.37007874,-0.12435217,-0.43504348,-0.30397835,-0.9526789
0,0.37795275,-0.12456496,-0.4358034,-0.31523055,-0.94901514
0,0.38582677,-0.13123065,-0.42758217,-0.3266383,-0.9451494
0,0.39370078,-0.13585691,-0.42905825,-0.3380395,-0.94113195
0,0.4015748,-0.13822946,-0.42750296,-0.34962547,-0.9368895
0,0.40944883,-0.14677712,-0.43155316,-0.36134368,-0.9324327
0,0.41732284,-0.14946401,-0.43020946,-0.37319812,-0.92775166
0,0.42519686,-0.14983536,-0.4133185,-0.3852423,-0.92281544
0,0.43307087,-0.15437935,-0.4138696,-0.39736545,-0.9176605
0,0.44094488,-0.15914054,-0.41486466,-0.40956435,-0.9122812
0,0.4488189,-0.16344495,-0.40679538,-0.42187563,-0.9066537
0,0.4566929,-0.16800557,-0.40758225,-0.43413332,-0.9008486
0,0.46456692,-0.17067887,-0.4024094,-0.44624338,-0.89491165
0,0.47244096,-0.17745736,-0.39721352,-0.45818755,-0.8888555
0,0.48031497,-0.17819265,-0.38906124,-0.46995217,-0.88269186
0,0.48818898,-0.17832737,-0.39016175,-0.48144662,-0.8764754
0,0.496063,-0.18506247,-0.39184347,-0.4925505,-0.87028384
0,0.503937,-0.18749617,-0.38515165,-0.5034317,-0.86403507
0,0.511811,-0.19340359,-0.38903564,-0.5139349,-0.85782915
0,0.51968503,-0.19868685,-0.385995,-0.5240591,-0.8516819
0,0.52755904,-0.20077273,-0.39149567,-0.53394586,-0.84551865
0,0.53543305,-0.2030832,-0.39589658,-0.54373044,-0.8392599
0,0.54330707,-0.21191928,-0.39148718,-0.55336094,-0.8329416
