TaskID,Input1,Output1_1,Output1_2
782,0.0,0.2819,0.45785713
782,0.007874016,0.28161043,0.45427683
782,0.015748031,0.2813203,0.4505467
782,0.023622047,0.2811297,0.44681033
782,0.031496063,0.2808382,0.44306257
782,0.03937008,0.28054553,0.43933854
782,0.047244094,0.28032595,0.43566695
782,0.05511811,0.280057,0.4318757
782,0.062992126,0.27976072,0.4280665
782,0.070866145,0.27946284,0.4242366
782,0.07874016,0.27916476,0.42050064
782,0.08661418,0.27886885,0.41674227
782,0.09448819,0.27857217,0.4130192
782,0.10236221,0.2782743,0.40938386
782,0.11023622,0.27797508,0.40562585
782,0.11811024,0.27767462,0.4019775
782,0.12598425,0.27737278,0.39831224
782,0.13385826,0.27706963,0.39463127
782,0.14173229,0.2767647,0.39092827
782,0.1496063,0.27645823,0.38720706
782,0.15748031,0.2760753,0.38346675
782,0.16535433,0.27574036,0.37988967
782,0.17322835,0.275429,0.37633172
782,0.18110237,0.27507427,0.37261346
782,0.18897638,0.27470195,0.36902228
782,0.19685039,0.27438608,0.36541224
782,0.20472442,0.273969,0.3616458
782,0.21259843,0.27357563,0.3580049
782,0.22047244,0.27319595,0.35435015
782,0.22834645,0.27280983,0.35081962
782,0.23622048,0.272332,0.3471486
782,0.24409449,0.2718489,0.34346777
782,0.2519685,0.2713658,0.33989853
782,0.25984251,0.27088258,0.33630404
782,0.26771653,0.27029866,0.33270463
782,0.27559054,0.26975247,0.32915694
782,0.28346458,0.26912928,0.32563773
782,0.2913386,0.2684723,0.3220449
782,0.2992126,0.26780948,0.31848282
782,0.30708662,0.26715025,0.3149154
782,0.31496063,0.26633796,0.31130555
782,0.32283464,0.2655245,0.3076765
782,0.33070865,0.2647109,0.30404988
782,0.33858266,0.26389733,0.30047345
782,0.3464567,0.2629837,0.2969302
782,0.35433072,0.26217014,0.29356623
782,0.36220473,0.2612066,0.29009494
782,0.37007874,0.26022816,0.2867434
782,0.37795275,0.2592483,0.28324386
782,0.38582677,0.2582665,0.27988034
782,0.39370078,0.25718164,0.2765103
782,0.4015748,0.25612703,0.27312353
782,0.40944883,0.25500482,0.26977795
782,0.41732284,0.25381556,0.2663274
782,0.42519686,0.25265107,0.263003
782,0.43307087,0.25145596,0.25981846
782,0.44094488,0.25021988,0.25648537
782,0.4488189,0.24894981,0.25328517
782,0.4566929,0.24764594,0.25007915
782,0.46456692,0.24630405,0.24686654
782,0.47244096,0.24495809,0.24374199
782,0.48031497,0.24350944,0.24061121
782,0.48818898,0.2421519,0.23761503
782,0.496063,0.24070114,0.23446694
782,0.503937,0.23923753,0.23144428
782,0.511811,0.23774844,0.22840156
782,0.51968503,0.23619181,0.22531773
782,0.52755904,0.23461951,0.2223229
782,0.53543305,0.23303004,0.21915245
782,0.54330707,0.23142135,0.2160883
782,0.5511811,0.22969273,0.21298729
782,0.5590551,0.2280413,0.20998344
782,0.56692916,0.22626448,0.20703322
782,0.5748032,0.22455925,0.20419869
782,0.5826772,0.22282493,0.20138878
782,0.5905512,0.22110625,0.19879575
782,0.5984252,0.21935296,0.1962185
782,0.6062992,0.2175104,0.19366401
782,0.61417323,0.2156881,0.1912687
782,0.62204725,0.21378821,0.18881042
782,0.62992126,0.21179886,0.18656997
782,0.63779527,0.20985366,0.18419397
782,0.6456693,0.2077558,0.18196677
782,0.6535433,0.20560187,0.17971607
782,0.6614173,0.20343111,0.17760476
782,0.6692913,0.2012076,0.1754358
782,0.6771653,0.19905898,0.17342776
782,0.68503934,0.1968657,0.17136222
782,0.6929134,0.19473737,0.16937265
782,0.7007874,0.19261946,0.16744445
782,0.70866144,0.19050157,0.16528732
782,0.71653545,0.18836732,0.16317742
782,0.72440946,0.18616392,0.16102847
782,0.7322835,0.18402012,0.15878107
782,0.7401575,0.18191989,0.15659416
782,0.7480315,0.17985983,0.15438554
782,0.7559055,0.17784424,0.15229739
782,0.7637795,0.1756904,0.15009685
782,0.77165353,0.17353795,0.14803615
782,0.77952754,0.1712541,0.1458829
782,0.78740156,0.1693221,0.14414285
782,0.79527557,0.16914782,0.14378259
782,0.8031496,0.1673725,0.14198035
782,0.8110236,0.16524914,0.13999918
782,0.81889766,0.16290148,0.13792962
782,0.8267717,0.16074711,0.13590762
782,0.8346457,0.15863231,0.13385627
782,0.8425197,0.15655297,0.13197483
782,0.8503937,0.15446357,0.12993284
782,0.8582677,0.15234587,0.12798558
782,0.86614174,0.15023412,0.12585798
782,0.87401575,0.147891,0.12367053
782,0.88188976,0.1456695,0.121544205
782,0.8897638,0.14344293,0.11950262
782,0.8976378,0.14116453,0.11749002
782,0.9055118,0.13893516,0.115472354
782,0.9133858,0.13667086,0.11344843
782,0.9212598,0.13446401,0.11144192
782,0.92913383,0.13230516,0.10948111
782,0.93700784,0.13018978,0.10756267
782,0.9448819,0.12799467,0.10565182
782,0.9527559,0.12582633,0.10362633
782,0.96062994,0.123625025,0.10162015
782,0.96850395,0.121381775,0.09948992
782,0.97637796,0.11905491,0.097374596
782,0.984252,0.11674537,0.095275015
782,0.992126,0.11445801,0.093195595
782,1.0,0.1122,0.091
783,0.0,0.2849,0.5987143
783,0.007874016,0.28252095,0.5889369
783,0.015748031,0.28026858,0.57931346
783,0.023622047,0.27840945,0.5694432
783,0.031496063,0.2767457,0.5593958
783,0.03937008,0.27535424,0.54915345
783,0.047244094,0.27418965,0.53872424
783,0.05511811,0.27337918,0.528322
783,0.062992126,0.2728713,0.5179757
783,0.070866145,0.2726,0.507528
783,0.07874016,0.2727,0.4970602
783,0.08661418,0.27311316,0.48650005
783,0.09448819,0.27379283,0.4758167
783,0.10236221,0.27474922,0.46543953
783,0.11023622,0.27599204,0.45512545
783,0.11811024,0.27748615,0.44493625
783,0.12598425,0.27931166,0.4347906
783,0.13385826,0.28156063,0.42490172
783,0.14173229,0.28420317,0.41513205
783,0.1496063,0.28723216,0.40555558
783,0.15748031,0.29062578,0.3962157
783,0.16535433,0.29433203,0.38704205
783,0.17322835,0.29829416,0.3782268
783,0.18110237,0.3026095,0.36961854
783,0.18897638,0.3071733,0.3613116
783,0.19685039,0.31208515,0.3534417
783,0.20472442,0.31719503,0.3460071
783,0.21259843,0.32262397,0.33902863
783,0.22047244,0.3282497,0.33251622
783,0.22834645,0.3342208,0.32639322
783,0.23622048,0.34054187,0.32073852
783,0.24409449,0.34702507,0.315566
783,0.2519685,0.35372812,0.31088075
783,0.25984251,0.3605488,0.3068578
783,0.26771653,0.36749095,0.30333766
783,0.27559054,0.37455952,0.3003403
783,0.28346458,0.38166118,0.29802418
783,0.2913386,0.38889143,0.29636532
783,0.2992126,0.39621326,0.2952576
783,0.30708662,0.40354824,0.29485714
783,0.31496063,0.41104707,0.29501
783,0.32283464,0.41849828,0.29573447
783,0.33070865,0.42581728,0.2969015
783,0.33858266,0.4329332,0.29866663
783,0.3464567,0.43989447,0.30075732
783,0.35433072,0.44678232,0.30347323
783,0.36220473,0.4537305,0.3066852
783,0.37007874,0.460742,0.31055158
783,0.37795275,0.46760428,0.3146567
783,0.38582677,0.4743439,0.31931707
783,0.39370078,0.48088822,0.32416755
783,0.4015748,0.48726073,0.32924432
783,0.40944883,0.49348286,0.33459184
783,0.41732284,0.4995964,0.34013933
783,0.42519686,0.505685,0.345887
783,0.43307087,0.5117507,0.3518436
783,0.44094488,0.51796496,0.35785854
783,0.4488189,0.52402407,0.363642
783,0.4566929,0.53012276,0.3693074
783,0.46456692,0.53625625,0.37484822
783,0.47244096,0.5424331,0.38012478
783,0.48031497,0.5486925,0.38539577
783,0.48818898,0.5550014,0.3905724
783,0.496063,0.561328,0.39544857
783,0.503937,0.5678914,0.40011188
783,0.511811,0.5745214,0.40441045
783,0.51968503,0.58127904,0.40861535
783,0.52755904,0.58797234,0.41258562
783,0.53543305,0.5947372,0.41653085
783,0.54330707,0.6014588,0.42035425
783,0.5511811,0.6081535,0.42414486
783,0.5590551,0.61509323,0.42786708
783,0.56692916,0.622156,0.43136
783,0.5748032,0.6292234,0.43475738
783,0.5826772,0.6363515,0.43809485
783,0.5905512,0.6433577,0.4413769
783,0.5984252,0.65024644,0.44458207
783,0.6062992,0.65720284,0.4479455
783,0.61417323,0.6642184,0.4514315
783,0.62204725,0.6712133,0.45505008
783,0.62992126,0.67828894,0.45879507
783,0.63779527,0.68532956,0.46239358
783,0.6456693,0.69221514,0.46595785
783,0.6535433,0.6989438,0.4694938
783,0.6614173,0.7055095,0.4729985
783,0.6692913,0.71213615,0.47658604
783,0.6771653,0.71883065,0.48015928
783,0.68503934,0.72570586,0.48398528
783,0.6929134,0.732649,0.48797086
783,0.7007874,0.7396463,0.49196935
783,0.70866144,0.74653906,0.4960417
783,0.71653545,0.7534255,0.50002176
783,0.72440946,0.760112,0.50389254
783,0.7322835,0.7667117,0.5078067
783,0.7401575,0.77339053,0.51167613
783,0.7480315,0.780199,0.51564777
783,0.7559055,0.78700346,0.5195364
783,0.7637795,0.7939169,0.523359
783,0.77165353,0.80074525,0.527275
783,0.77952754,0.8076081,0.53114235
783,0.78740156,0.81447184,0.5350474
783,0.79527557,0.8213348,0.53887844
783,0.8031496,0.8281164,0.54289067
783,0.8110236,0.83485126,0.5468273
783,0.81889766,0.8416644,0.5509543
783,0.8267717,0.84836733,0.5549464
783,0.8346457,0.85510033,0.5590335
783,0.8425197,0.8618707,0.56322473
783,0.8503937,0.8685802,0.5673782
783,0.8582677,0.87537074,0.5715479
783,0.86614174,0.88209593,0.5758084
783,0.87401575,0.8888706,0.58003634
783,0.88188976,0.89569014,0.5842487
783,0.8897638,0.90247905,0.5885441
783,0.8976378,0.90923035,0.5927944
783,0.9055118,0.9159263,0.5969271
783,0.9133858,0.9226728,0.60100085
783,0.9212598,0.92937225,0.6051134
783,0.92913383,0.9360323,0.6092077
783,0.93700784,0.94275975,0.6132534
783,0.9448819,0.94943106,0.6173305
783,0.9527559,0.95621705,0.6215861
783,0.96062994,0.9630683,0.62580776
783,0.96850395,0.9699203,0.63018924
783,0.97637796,0.9767599,0.6345584
783,0.984252,0.9835649,0.63891226
783,0.992126,0.99034476,0.64324987
783,1.0,0.9971,0.64757144
784,0.0,0.2527,0.8198571
784,0.007874016,0.25449613,0.8138407
784,0.015748031,0.2563751,0.80766034
784,0.023622047,0.25819597,0.80140865
784,0.031496063,0.25991577,0.79537225
