TaskID,Input1,Output8_1,Output16_1,Dataframe
0,0,840.0,1001.0,Train
0,1,1102.0,1223.0,Train
0,2,1025.0,1172.0,Train
0,3,833.0,813.0,Train
0,4,733.0,688.0,Train
0,5,726.0,673.0,Train
0,6,715.0,874.0,Train
0,7,625.0,909.0,Train
0,8,521.0,890.0,Train
0,9,608.0,912.0,Train
0,10,771.0,1068.0,Train
0,11,929.0,1133.0,Train
0,12,1049.0,1059.0,Train
0,13,931.0,839.0,Train
0,14,719.0,848.0,Train
0,15,742.0,801.0,Train
0,16,783.0,830.0,Train
0,17,895.0,976.0,Train
0,18,1153.0,1267.0,Train
0,19,1376.0,1469.0,Train
0,20,1514.0,1573.0,Train
0,21,1345.0,1488.0,Train
0,22,1204.0,1280.0,Train
0,23,1042.0,1075.0,Train
0,24,928.0,982.0,Train
0,25,847.0,884.0,Train
0,26,766.0,845.0,Train
0,27,719.0,549.0,Train
0,28,904.0,469.0,Train
0,29,877.0,517.0,Train
0,30,850.0,731.0,Train
0,31,874.0,843.0,Train
0,32,910.0,1149.0,Train
0,33,1055.0,1174.0,Train
0,34,1281.0,1245.0,Train
0,35,1288.0,1229.0,Train
0,36,1389.0,1350.0,Train
0,37,1208.0,1345.0,Train
0,38,1193.0,1337.0,Train
0,39,1244.0,1216.0,Train
0,40,1177.0,1230.0,Train
0,41,1289.0,1523.0,Train
0,42,1787.0,1945.0,Train
0,43,1790.0,1948.0,Train
0,44,1635.0,1948.0,Train
0,45,1490.0,1810.0,Train
0,46,1409.0,1481.0,Train
0,47,1338.0,1159.0,Train
0,48,1033.0,910.0,Train
0,49,861.0,852.0,Train
0,50,729.0,785.0,Train
0,51,703.0,602.0,Train
0,52,880.0,506.0,Train
0,53,837.0,538.0,Train
0,54,784.0,836.0,Train
0,55,884.0,1136.0,Train
0,56,995.0,1439.0,Train
0,57,1113.0,1523.0,Train
0,58,1254.0,1363.0,Train
0,59,1285.0,1408.0,Train
0,60,1306.0,1238.0,Train
0,61,1234.0,1310.0,Train
0,62,1156.0,1351.0,Train
0,63,1267.0,1248.0,Train
0,64,1213.0,1235.0,Train
0,65,1325.0,1510.0,Train
0,66,1621.0,2152.0,Train
0,67,1880.0,2389.0,Train
0,68,1649.0,2232.0,Train
0,69,1544.0,1996.0,Train
0,70,1409.0,1842.0,Train
0,71,1139.0,1235.0,Train
1,0,965.0,891.0,Train
1,1,780.0,849.0,Train
1,2,689.0,787.0,Train
1,3,686.0,568.0,Train
1,4,865.0,462.0,Train
1,5,867.0,568.0,Train
1,6,793.0,833.0,Train
1,7,892.0,1165.0,Train
1,8,881.0,1520.0,Train
1,9,1022.0,1510.0,Train
1,10,1224.0,1369.0,Train
1,11,1315.0,1298.0,Train
1,12,1358.0,1124.0,Train
1,13,1214.0,1187.0,Train
1,14,1120.0,1267.0,Train
1,15,1254.0,1223.0,Train
1,16,1096.0,1279.0,Train
1,17,1186.0,1378.0,Train
1,18,1659.0,1913.0,Train
1,19,1837.0,2081.0,Train
1,20,1595.0,1996.0,Train
1,21,1487.0,1903.0,Train
1,22,1403.0,1626.0,Train
1,23,1187.0,1216.0,Train
1,24,905.0,880.0,Train
1,25,793.0,820.0,Train
1,26,707.0,800.0,Train
1,27,675.0,549.0,Train
1,28,851.0,452.0,Train
1,29,838.0,491.0,Train
1,30,808.0,833.0,Train
1,31,879.0,1101.0,Train
1,32,894.0,1465.0,Train
1,33,1099.0,1386.0,Train
1,34,1248.0,1315.0,Train
1,35,1311.0,1209.0,Train
1,36,1332.0,989.0,Train
1,37,1161.0,1079.0,Train
1,38,1013.0,1194.0,Train
1,39,1002.0,1209.0,Train
1,40,985.0,1149.0,Train
1,41,1090.0,1286.0,Train
1,42,1497.0,1679.0,Train
1,43,1773.0,1986.0,Train
1,44,1598.0,2088.0,Train
1,45,1335.0,1859.0,Train
1,46,1470.0,1686.0,Train
1,47,1181.0,1305.0,Train
1,48,1012.0,938.0,Train
1,49,843.0,877.0,Train
1,50,767.0,798.0,Train
1,51,752.0,590.0,Train
1,52,851.0,459.0,Train
1,53,844.0,533.0,Train
1,54,788.0,826.0,Train
1,55,864.0,1120.0,Train
1,56,891.0,1475.0,Train
1,57,1184.0,1513.0,Train
1,58,1254.0,1523.0,Train
1,59,1231.0,1412.0,Train
1,60,1180.0,1072.0,Train
1,61,1086.0,1178.0,Train
1,62,1002.0,1257.0,Train
1,63,1046.0,1209.0,Train
1,64,1086.0,1277.0,Train
1,65,1217.0,1331.0,Train
1,66,1669.0,1634.0,Train
1,67,1746.0,1881.0,Train
1,68,1571.0,1849.0,Train
1,69,1554.0,1823.0,Train
1,70,1386.0,1471.0,Train
1,71,1187.0,1209.0,Train
2,0,1080.0,1089.0,Train
2,1,991.0,935.0,Train
2,2,820.0,810.0,Train
2,3,726.0,558.0,Train
2,4,877.0,415.0,Train
2,5,860.0,472.0,Train
2,6,855.0,711.0,Train
2,7,807.0,743.0,Train
2,8,834.0,769.0,Train
2,9,1075.0,945.0,Train
2,10,1268.0,1009.0,Train
2,11,1203.0,904.0,Train
2,12,1265.0,1068.0,Train
2,13,1254.0,829.0,Train
2,14,1221.0,865.0,Train
2,15,1194.0,931.0,Train
2,16,1221.0,848.0,Train
2,17,1263.0,907.0,Train
2,18,1558.0,1388.0,Train
2,19,1633.0,1878.0,Train
2,20,1568.0,1666.0,Train
2,21,1527.0,1461.0,Train
2,22,1362.0,1366.0,Train
2,23,1160.0,1165.0,Train
2,24,1096.0,1081.0,Train
2,25,938.0,962.0,Train
2,26,844.0,800.0,Train
2,27,750.0,567.0,Train
2,28,827.0,456.0,Train
2,29,831.0,466.0,Train
2,30,800.0,689.0,Train
2,31,784.0,746.0,Train
2,32,757.0,695.0,Train
2,33,971.0,833.0,Train
2,34,1112.0,954.0,Train
2,35,1271.0,1213.0,Train
2,36,1161.0,1184.0,Train
2,37,937.0,1075.0,Train
2,38,895.0,983.0,Train
2,39,848.0,779.0,Train
2,40,857.0,785.0,Train
2,41,1026.0,968.0,Train
2,42,1414.0,1443.0,Train
2,43,1494.0,1704.0,Train
2,44,1552.0,1842.0,Train
2,45,1400.0,1717.0,Train
2,46,1303.0,1475.0,Train
2,47,1140.0,1092.0,Train
2,48,968.0,814.0,Train
2,49,844.0,759.0,Train
2,50,685.0,756.0,Train
2,51,689.0,514.0,Train
2,52,837.0,385.0,Train
2,53,820.0,442.0,Train
2,54,770.0,769.0,Train
2,55,868.0,1044.0,Train
2,56,879.0,1501.0,Train
2,57,1003.0,1504.0,Train
2,58,1164.0,1417.0,Train
2,59,1187.0,1359.0,Train
2,60,1225.0,1174.0,Train
2,61,1177.0,993.0,Train
2,62,989.0,1090.0,Train
2,63,1005.0,966.0,Train
2,64,1002.0,1041.0,Train
2,65,1110.0,1145.0,Train
2,66,1605.0,1603.0,Train
2,67,1783.0,1955.0,Train
2,68,1528.0,1960.0,Train
2,69,1551.0,1938.0,Train
2,70,1456.0,1522.0,Train
2,71,1109.0,1085.0,Train
3,0,914.0,845.0,Train
3,1,766.0,807.0,Train
3,2,659.0,791.0,Train
3,3,647.0,539.0,Train
3,4,790.0,412.0,Train
3,5,823.0,488.0,Train
3,6,750.0,814.0,Train
3,7,846.0,1107.0,Train
3,8,878.0,1264.0,Train
3,9,948.0,1242.0,Train
3,10,1063.0,1210.0,Train
3,11,1066.0,1164.0,Train
3,12,1164.0,870.0,Train
3,13,1120.0,919.0,Train
3,14,1032.0,978.0,Train
3,15,1103.0,805.0,Train
3,16,1069.0,874.0,Train
3,17,1056.0,1063.0,Train
3,18,1625.0,1606.0,Train
3,19,1850.0,1861.0,Train
3,20,1702.0,1970.0,Train
3,21,1578.0,1801.0,Train
3,22,1396.0,1443.0,Train
3,23,1154.0,1075.0,Train
3,24,945.0,753.0,Train
3,25,753.0,682.0,Train
3,26,713.0,718.0,Train
3,27,692.0,466.0,Train
3,28,840.0,389.0,Train
3,29,865.0,385.0,Train
3,30,757.0,769.0,Train
3,31,875.0,1063.0,Train
3,32,887.0,1293.0,Train
3,33,1039.0,1123.0,Train
3,34,1299.0,1002.0,Train
3,35,1318.0,989.0,Train
3,36,1197.0,865.0,Train
3,37,1160.0,920.0,Train
3,38,1100.0,936.0,Train
3,39,1113.0,906.0,Train
3,40,1177.0,992.0,Train
3,41,1271.0,1113.0,Train
3,42,1612.0,1634.0,Train
3,43,1787.0,1942.0,Train
3,44,1749.0,2018.0,Train
3,45,1621.0,1861.0,Train
3,46,1379.0,1510.0,Train
3,47,1133.0,1201.0,Train
3,48,925.0,903.0,Train
3,49,783.0,832.0,Train
3,50,723.0,789.0,Train
3,51,651.0,584.0,Train
3,52,843.0,466.0,Train
3,53,857.0,554.0,Train
3,54,769.0,881.0,Train
3,55,897.0,1193.0,Train
3,56,958.0,1584.0,Train
3,57,1049.0,1536.0,Train
3,58,1237.0,1437.0,Train
3,59,1308.0,1357.0,Train
3,60,1181.0,1116.0,Train
3,61,1094.0,1133.0,Train
3,62,1042.0,1187.0,Train
3,63,1059.0,1213.0,Train
3,64,944.0,1190.0,Train
3,65,1089.0,1296.0,Train
3,66,1574.0,1807.0,Train
3,67,1783.0,1912.0,Train
3,68,1672.0,2088.0,Train
3,69,1602.0,1999.0,Train
3,70,1524.0,1705.0,Train
3,71,1150.0,1212.0,Train
4,0,864.0,811.0,Train
4,1,730.0,824.0,Train
4,2,695.0,765.0,Train
4,3,688.0,581.0,Train
4,4,830.0,474.0,Train
4,5,824.0,478.0,Train
4,6,746.0,830.0,Train
4,7,837.0,1133.0,Train
4,8,870.0,1615.0,Train
4,9,1106.0,1539.0,Train
4,10,1221.0,1552.0,Train
4,11,1187.0,1322.0,Train
4,12,1269.0,1223.0,Train
4,13,1215.0,1085.0,Train
4,14,1167.0,1114.0,Train
4,15,1184.0,1088.0,Train
4,16,1092.0,1209.0,Train
4,17,1210.0,1350.0,Train
4,18,1595.0,1827.0,Train
4,19,1834.0,2100.0,Train
4,20,1655.0,2133.0,Train
4,21,1460.0,1830.0,Train
4,22,1362.0,1679.0,Train
4,23,1245.0,1244.0,Train
4,24,1001.0,948.0,Train
4,25,895.0,883.0,Train
4,26,796.0,824.0,Train
4,27,709.0,580.0,Train
4,28,834.0,449.0,Train
4,29,764.0,464.0,Train
4,30,823.0,686.0,Train
4,31,844.0,762.0,Train
4,32,884.0,833.0,Train
4,33,1147.0,940.0,Train
4,34,1288.0,1281.0,Train
4,35,1315.0,1289.0,Train
4,36,1349.0,1341.0,Train
4,37,1406.0,1158.0,Train
4,38,1318.0,1190.0,Train
4,39,1265.0,1344.0,Train
4,40,1238.0,1399.0,Train
4,41,1406.0,1405.0,Train
4,42,1756.0,1657.0,Train
4,43,1820.0,1893.0,Train
4,44,1682.0,1913.0,Train
4,45,1602.0,1819.0,Train
4,46,1365.0,1526.0,Train
4,47,1204.0,1270.0,Train
4,48,1077.0,1018.0,Train
4,49,918.0,874.0,Train
4,50,793.0,804.0,Train
4,51,739.0,551.0,Train
4,52,922.0,482.0,Train
4,53,834.0,498.0,Train
