TaskID,Input1,Output1_1,Noise1_1,LST
0,-1.5059513,-1.22894,0.99586415,0
0,-1.4375714,-1.2504714,0.70628875,0
0,-1.3687778,-1.254719,0.6373003,0
0,-1.3000787,-1.2454911,0.4845299,0
0,-1.2325872,-1.1775281,0.45362425,0
0,-1.1675475,-1.0851042,0.41847095,0
0,-1.1054024,-0.9726137,0.39708602,0
0,-1.0463419,-0.84518296,0.37936288,0
0,-0.99056524,-0.6867,0.3724787,0
0,-0.93805283,-0.52851003,0.37789816,0
0,-0.8886495,-0.344248,0.34538135,0
0,-0.84216493,-0.16818863,0.39840427,0
0,-0.7981471,-0.0028214485,0.45245248,0
0,-0.756118,0.1347159,0.4987377,0
0,-0.715623,0.25116122,0.5514677,0
0,-0.6760574,0.29466346,0.5340375,0
0,-0.63687646,0.3188313,0.6163549,0
0,-0.59772116,0.29554227,0.64535636,0
0,-0.5580673,0.22377099,0.8171682,0
0,-0.5176135,0.1508277,0.8064757,0
0,-0.47622746,0.062358618,0.9554379,0
0,-0.43367204,-0.0409043,1.0844798,0
1,0.9771319,-0.5280706,0.19275735,0
1,1.0283493,-0.6172721,0.16492765,0
1,1.0811881,-0.6998824,0.14061327,0
1,1.1355343,-0.7679921,0.11395534,0
1,1.1910543,-0.8157419,0.12874903,0
1,1.2475107,-0.85470355,0.12318308,0
1,1.3046103,-0.874038,0.121864825,0
1,1.3619233,-0.8750632,0.11278356,0
1,1.4189408,-0.85045594,0.090226844,0
1,1.4746829,-0.77634084,0.08275677,0
1,1.5284269,-0.66677976,0.0820244,0
1,1.5796793,-0.52792424,0.07689788,0
1,1.6281973,-0.36577943,0.07938791,0
1,1.6738483,-0.17390104,0.08451443,0
1,1.7167592,0.023836367,0.10106579,0
1,1.7574416,0.16825792,0.12816313,0
1,1.7965227,0.29363805,0.13153198,0
1,1.8342079,0.42224059,0.14500743,0
1,1.8706452,0.53502434,0.15701815,0
1,1.9052515,0.63447905,0.15775052,0
1,1.9389066,0.7333478,0.15335634,0
1,1.971718,0.8169832,0.16653883,0
1,2.0038996,0.87147087,0.15760404,0
1,2.035676,0.9032551,0.14866923,0
1,2.0665677,0.91306895,0.15438165,0
1,2.097389,0.9001793,0.14281034,0
1,2.1283526,0.85623765,0.1535028,0
1,2.1597013,0.784613,0.16375588,0
1,2.1916406,0.6990729,0.1741554,0
1,2.2235599,0.5955174,0.19012085,0
1,2.2563782,0.48683485,0.20916224,0
1,2.2901652,0.37991014,0.24372965,0
1,2.3250852,0.25057542,0.27873653,0
1,2.3612208,0.1432113,0.28122655,0
1,2.3974793,0.007577949,0.31769812,0
1,2.435224,-0.114433385,0.29030782,0
1,2.4742343,-0.20026608,0.34479547,0
1,2.510946,-0.20026608,0.355195,0
2,-0.98081255,1.1379038,0.9186734,0
2,-0.94874793,1.1176906,0.8445584,0
2,-0.9165398,1.0951337,0.6687919,0
2,-0.88416946,1.0702337,0.5628925,0
2,-0.8516255,1.0450405,0.49771237,0
2,-0.8189044,1.0198473,0.5035713,0
2,-0.7859979,0.99289644,0.43326464,0
2,-0.7528798,0.96140456,0.43736586,0
2,-0.71949595,0.92141795,0.45289192,0
2,-0.68577725,0.8733751,0.46006903,0
2,-0.6516446,0.815665,0.48540872,0
