TaskID,Input_1,Output1_1
4,10.74,78.08
4,11.43,76.65
4,11.620000000000001,76.9
4,12.42,75.08
4,12.540000000000001,72.13
4,12.65,71.195
4,13.4,69.8
4,13.46,70.06
4,13.540000000000001,71.02
4,13.620000000000001,67.64
4,13.83,69.31
4,13.9,69.465
4,14.540000000000001,67.71
4,14.65,66.97
4,14.69,66.93
4,14.98,67.48
5,13.11,67.05000000000001
5,13.780000000000001,65.93
5,13.99,62.675
5,14.13,65.045
5,14.17,63.91
5,14.530000000000001,62.41
5,14.68,62.71
5,14.870000000000001,60.98
5,14.98,61.59
5,15.030000000000001,62.64
5,15.120000000000001,62.59
5,15.17,61.07
5,15.700000000000001,62.37
5,15.77,61.21
5,15.83,60.46
5,15.85,59.745000000000005
5,15.91,60.59
5,16.02,62.07
5,16.080000000000002,64.56
5,16.12,60.975
5,16.16,60.364999999999995
5,16.73,62.31
5,16.85,61.08
5,16.92,61.44
5,16.94,60.37
5,17,60.99
5,17.12,61.33
5,17.18,61.42
5,17.71,62.44
5,17.75,59.695
5,17.85,59.535
5,17.92,60.92
5,18.04,60.55
5,18.73,59.59
5,18.81,58.97
5,18.85,59.17
5,18.88,58.615
5,19.07,60.52
5,19.11,59.375
5,19.7,58.715
5,19.76,60.239999999999995
5,19.8,59
5,19.84,58.94
5,19.91,58.04
30,15.540000000000001,68.7
30,15.92,68.2
30,16.080000000000002,67.06
30,16.36,66.5
30,16.5,64.53
30,16.54,66.92
30,17,65.55
30,17.150000000000002,64.03999999999999
30,17.25,63.49
30,17.5,64.04
30,17.54,64.83
30,18.17,63.37
30,18.25,62.62
30,18.28,61.92
30,18.5,62.2
30,18.54,62.644999999999996
30,19.01,62.93
30,19.150000000000002,63.345
30,19.26,62.760000000000005
30,19.51,63.96
30,19.53,64.62
33,12.77,81.81
33,13.42,75.07
33,13.65,73.23
33,13.780000000000001,73.78
33,14.38,70.18
33,14.43,70.625
33,14.51,68.85
33,15.370000000000001,66.16
33,15.41,67.69
33,15.47,66.62
33,15.700000000000001,69.12
33,15.8,67.65
33,16.41,65.99
33,16.47,66.32
33,16.7,65.3
33,16.740000000000002,65.88
33,16.79,66.84
33,17.71,64.72
35,13.69,66.375
35,13.83,66.37
35,13.91,66.12
35,14.81,64.56
35,14.89,63.28
35,15.27,62.03
35,15.790000000000001,62.41
35,15.92,61.815
35,16.18,62.02
35,16.69,61.81
35,16.79,62.3
35,16.87,62.22
35,16.92,61.805
35,17.13,63.540000000000006
35,17.16,63.16
35,17.28,62.19
35,17.69,62.925
35,17.82,63.3
35,17.88,64.84
39,14.16,65.59
39,14.47,61.775
39,15.19,61.59
39,15.39,61.875
39,16.07,61.07
39,16.09,60.105000000000004
39,16.15,59.45
39,16.2,60.06
39,16.27,59.195
39,16.41,59.97
39,16.55,60.77
39,17.11,60.855000000000004
39,17.13,60.36
39,17.2,59.63
39,17.93,60.125
39,18.05,60.57
39,18.18,61.15
39,18.25,59.16
39,18.38,60.76
42,14.370000000000001,70.95
42,15.33,67.05
42,15.99,67.9
42,16.11,65.99
42,16.21,65.61
42,16.38,64.49
42,16.97,65.67
42,17.07,64.515
42,17.28,63.85
42,17.38,65.64
42,17.82,65.42
42,17.97,65
42,18.07,65.56
42,18.38,65.49
42,19.12,68.74
42,19.16,66.49
42,19.32,67.73
44,13.38,70.38999999999999
44,14.22,66.77
44,14.24,66.695
44,14.3,65.83500000000001
44,14.36,66.04
44,14.38,68.87
44,14.44,66.28
44,14.950000000000001,65.66
44,15.05,64.39
44,15.22,67.31
44,15.24,66.25
44,15.36,66.17
44,15.39,66.65
44,15.44,64.71
44,15.790000000000001,66.8
44,15.950000000000001,66.8
44,16.04,67.56
44,16.35,66.48
44,16.39,67.61
44,16.96,65.25
44,17.39,67.3
48,11.76,80.11
48,13.6,72.4
48,13.76,73.03
48,13.97,71.11
48,14.01,69.97
48,14.620000000000001,70.56
48,14.72,68.21
48,14.74,67.895
48,14.76,69.32
48,14.99,68.61
48,15.02,67.17
48,15.56,69.28
48,15.6,68.29
48,15.620000000000001,68.91
48,15.64,68.6
48,15.65,68.5
48,15.77,68.37
48,15.91,71.83
48,15.98,69.68
48,16.02,68.59
51,11.24,72.29499999999999
51,12.120000000000001,65.53
51,12.39,62.86
51,13.41,70.31
51,14.02,62.42
51,14.08,65.12
51,14.13,62.53
51,14.19,63.035000000000004
51,14.4,62
51,14.42,61.26
51,14.5,62.08
51,14.530000000000001,61.93
51,15.02,62.239999999999995
51,15.07,63.95
51,15.08,62.31
51,15.11,65.27
51,15.15,68.46
51,15.23,63.12
51,15.36,62.945
51,15.42,61.725
51,15.530000000000001,62.08
