TaskID,Input_1,Output1_1
4,10.7,78.08
4,11.4,76.65
4,11.6,76.9
4,12.4,75.08
4,12.5,72.13
4,12.7,71.195
4,13.4,69.8
4,13.5,70.06
4,13.6,67.64
4,13.8,69.31
4,13.9,69.465
4,14.5,67.71
4,14.7,66.97
4,15.0,67.48
5,13.1,67.05000000000001
5,13.8,65.93
5,14.0,62.675
5,14.1,65.045
5,14.2,63.91
5,14.5,62.41
5,14.7,62.71
5,14.9,60.98
5,15.0,61.59
5,15.1,62.59
5,15.2,61.07
5,15.7,62.37
5,15.8,61.21
5,15.9,60.59
5,16.0,62.07
5,16.1,64.56
5,16.2,60.364999999999995
5,16.7,62.31
5,16.9,61.08
5,17.0,60.99
5,17.1,61.33
5,17.2,61.42
5,17.7,62.44
5,17.8,59.695
5,17.9,59.535
5,18.0,60.55
5,18.7,59.59
5,18.8,58.97
5,18.9,59.17
5,19.1,60.52
5,19.7,58.715
5,19.8,60.239999999999995
5,19.9,58.04
30,15.5,68.7
30,15.9,68.2
30,16.1,67.06
30,16.4,66.5
30,16.5,64.53
30,17.0,65.55
30,17.2,64.03999999999999
30,17.5,64.04
30,18.2,63.37
30,18.3,61.92
30,18.5,62.2
30,19.0,62.93
30,19.2,63.345
30,19.3,62.760000000000005
30,19.5,63.96
33,12.8,81.81
33,13.4,75.07
33,13.7,73.23
33,13.8,73.78
33,14.4,70.18
33,14.5,68.85
33,15.4,66.16
33,15.5,66.62
33,15.7,69.12
33,15.8,67.65
33,16.4,65.99
33,16.5,66.32
33,16.7,65.3
33,16.8,66.84
33,17.7,64.72
35,13.7,66.375
35,13.8,66.37
35,13.9,66.12
35,14.8,64.56
35,14.9,63.28
35,15.3,62.03
35,15.8,62.41
35,15.9,61.815
35,16.2,62.02
35,16.7,61.81
35,16.8,62.3
35,16.9,62.22
35,17.1,63.540000000000006
35,17.2,63.16
35,17.3,62.19
35,17.7,62.925
35,17.8,63.3
35,17.9,64.84
39,14.2,65.59
39,14.5,61.775
39,15.2,61.59
39,15.4,61.875
39,16.1,61.07
39,16.2,60.06
39,16.3,59.195
39,16.4,59.97
